Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
13/8/2021,Brentford,Arsenal,2,0,H
14/8/2021,Norwich,Liverpool,0,3,A
14/8/2021,Watford,Aston Villa,3,2,H
14/8/2021,Leicester,Wolves,1,0,H
14/8/2021,Everton,Southampton,3,1,H
14/8/2021,Chelsea,Crystal Palace,3,0,H
14/8/2021,Burnley,Brighton,1,2,A
14/8/2021,Man United,Leeds,5,1,H
15/8/2021,Tottenham,Man City,1,0,H
15/8/2021,Newcastle,West Ham,2,4,A
21/8/2021,Brighton,Watford,2,0,H
21/8/2021,Man City,Norwich,5,0,H
21/8/2021,Leeds,Everton,2,2,D
21/8/2021,Crystal Palace,Brentford,0,0,D
21/8/2021,Aston Villa,Newcastle,2,0,H
21/8/2021,Liverpool,Burnley,2,0,H
22/8/2021,Wolves,Tottenham,0,1,A
22/8/2021,Southampton,Man United,1,1,D
